Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
KAM AMIN,2018-11-22 06:37:57,4,1,"Kyoto Tower is an observation tower located in Kyoto, Japan. The steel tower is the tallest structure in Kyoto with its observation deck at 100 metres and its spire at 131 metres. The 800-ton tower stands atop a 9-story building, which houses a 3-star hotel and several stores.

Visiting here due to pray room yes, there got it and very nice place and comfortable place,if you wan to use the pray room please visit the information counter there will help to open the door, if not the room it's close.

Kyoto tower it's near to Kyoto Station and its center of Hub in Osaka city









",yes,,view review
Madames Pagy,2018-11-29 10:44:22,5,2,"It’s entrance is located on the highest floor which connects elevator to the 360* view tower. Free entry when you presented Kyoto day pass. Spectacular view, night time visiting is different awesome 😎 experience.









",yes,,view review
Mikk Mutuc,2018-12-08 11:03:55,5,0,"Visited Kyoto Tower twice and you should too!Visit both day and night to see the spectacular 360 degrees view of Kyoto. You can also see as far as Osaka and other popular temples around Kyoto. I paid nothing because I have a student pass but if you're paying it's not that expensive. It's 700 yen for adults. The tower is kind of scary though, because you'll feel that it sways. But yeah, this is a must visit!

",yes,,view review
Jennifer Ngo,2019-01-01 13:15:07,3,0,"A small tower with an observation deck. The 3rd floor is free with a smoking lounge. But the top floor is 770 yen for adult tickets. The interior is rather small but has multiple binoculars to get a 360 view of Kyoto. Along the windows are labeled landmarks.






",yes,,view review
J. Eisenbeis,2019-01-24 22:49:37,3,1,"Nice tower directly at Kyoto station with several stores in the lower floors and the Kyoto tower hotel. The ticket to visit the top isn't that expensive but in my opinion is the view not very special. No special buildings nearby which can directly be seen. At least we didn't need to wait in line for going up.




",yes,,view review
bb8here,2019-01-28 13:11:08,3,1,"It's an observation deck. Very well organised. The binoculars are very  powerful. We went during the day but I think it would be more spectacular at night with all the lights.

You get  discounts with the tickets for the observation deck e.g. entry to an onsen and tea house in the building.










",yes,,view review
Mustafa Kulle,2019-04-20 00:55:56,5,0,"A very tall tower with breathtaking views. It was the first place I visited as soon as I came out of Kyoto Station across the road.
I could stay in the observation room all day. BY looking around it gives you an idea where to start when you explore Kyoto. There is so much to see. I highly recommend you check this place out.













",yes,,view review
Anni Mylläri,2019-05-01 08:57:35,4,0,"The Kyoto Tower is located next to Kyoto main Station. I visited in the tower in Tuesday after 5pm and there wasn't so many people. So I recommend to visit after around this time. Views are amazing but there isn't any cafes or restaurant on the top. But nice views, you can see all Kyoto and the highest buildings of Osaka.





",yes,,view review
Adam Hall,2019-05-26 11:46:48,4,0,"We had discounted tickets from our hotel so 300 yen per adult. We went early around 915, no waiting and not crowded at the top. I wish this was the first thing we did when we got to Kyoto because it would help me orient myself and also prioritize the things I wanted to see.



",yes,,view review
Albert Luk,2019-09-22 03:30:06,5,1,"If you’re staying at the Kyoto tower hotel, it’s a discount to go up. Good views and English/language options. Free binocular use! The red “cage bars” that make Kyoto tower unique has the disadvantage of impeding views and interferes with selfies and photos. Still, it’s worth a go but on the pricier side without discount. You can buy tickets at the ground/shop level or at the machine vendor at the base of the tower.



",yes,,view review
Gaby Esguerra,2019-10-08 14:32:03,5,2,"I always don’t understand places where you can “see the city from above”, I think it’s best experienced by foot. But I realized I appreciated the Kyoto tower a lot because you can see the city and the temples/shrines incorporated in the area, not just tall buildings and sky scrapers. It’s really beautiful. Well-worth our time and money (it’s less than 1,000 Yen) to see a 360-view. If you check the telescopes you’ll see almost all the major landmarks.



",yes,,view review
Jeff Keiper,2019-10-22 08:43:32,3,0,"The Tower isn’t the best observation deck type tower I have visited, the view of the city is fantastic. They have maps that show local landmarks, however there is very little crowd control and the crowds get thick, early I. The morning is the best time to go.


",yes,,view review
Andy A.,2019-10-26 05:34:29,5,2,"Very scenic location. I went at night which was very beautiful, but it also limited the places I could see. I would say it's worth going at either time. There are high powered binoculars and the key points to search are marked on the tower glass. With a high powered zoom lens on a good camera you could capture some nice photos. I would hate to live near the tower with so many people able to look into my living room!

Price was fair at under $8 US for adults. You could maximize your time there and have a meal in the tower restaurant. Perhaps the best time is at sunset so you could see all of the landmarks and then watch the night view. There are small souvenirs and a stamp to keep a memento.



",yes,,view review
Phương Quỳnh,2020-02-17 14:23:37,3,3,"spent about 800 yen to get here. the night view is pretty cool. they also have a booth to take photos as a keepsake.
for people who don’t wanna spend that much for such thing, I recommend the view from Kyoto Station.



",yes,,view review
Kazuhiko “Kazu” F.,2021-02-04 02:10:47,4,0,"It's a nice view. You can get a panoramic view of Kyoto city. I think it's a good idea to check the location here before going for a walk in Kyoto.





",yes,,view review
Michelle Martinie,2022-01-02 08:04:13,5,0,"Going to the top of Kyoto Tower is something you can do very quickly. If you have an hour before a train, Kyoto Tower can be visited with time to spare. When we went, there was very little waiting, and we managed to see everything we wanted to in 30 minutes. The binoculars do not cost extra to use. Two of the three photos I attached were taken through them. As you can see, many famous sights are visible from Kyoto Tower.


",yes,,view review
Amari Rae Pulido,2022-02-06 15:03:20,5,3,"Kyoto Tower is a famous symbol of this historic city and old capital of Japan! 🇯🇵 The 360 view is beautiful, with maps and binoculars to locate specific attractions in Kyoto. (Maybe not for people who are spacially sensitive or afraid of heights.) It is also conveniently located directly across the front of Kyoto Station.
",yes,,view review
Morgan Bayrasli,2022-04-09 01:13:12,4,3,"This is an excellent activity for the end of your day. We went to the Kyoto Tower after a day at the Nishiki Market. We wanted something fun and easy before dinner, and this did not disappoint. It took us less than an hour to get tickets to see the tower and return. It's great for little ones too. They had interactive screens that highlighted different Kyoto areas and gave information on each. The screen also provided a QR Code which brought you more information. They have several languages available, which makes navigating easy.
My one critique is the glass in the stair portion is a little worn and can be hard to see out of. That is not from lack of cleanliness. It is just older. This does not take much away from experience, but it does lower my score,



",yes,,view review
Kwanta Thansa,2022-06-08 12:34:38,5,0,"Kyoto Tower is an observation tower located in Kyoto, Japan. This steel tower is the tallest structure in Kyoto with its observation deck at 100 metres and its spire at 131 metres.
The tower stands atop a 9-story building, which houses a 3-star hotel and several stores. The entire complex stands opposite Kyōto Station. It was nice to see Kyoto City from this tower.








",yes,,view review
Pawan Maharjan (Pawn mrzn),2022-07-11 04:51:56,5,5,"Kyoto Tower (京都タワー, Kyōto-tawā) is an observation tower located in Kyoto, Japan. The steel tower is the tallest structure in Kyoto with its observation deck at 100 metres (328 ft) and its spire at 131 metres (430 ft). The 800-ton tower stands atop a 9-story building, which houses a 3-star hotel and several stores. The entire complex stands opposite Kyōto Station.Kyoto is Japan’s most elegant city, where its cultural traditions are best preserved. Here we expect to find wooden townhouses on lantern lit lanes, ancient shrines and temples, stately palaces and meditative gardens. So a first time visitor to Kyoto might well be surprised by the sight of the brightly painted red and white tower that stands directly across from Kyoto Station’s north central exit.A cheerful beacon of 1960’s optimism, Kyoto Tower stands at 131 meters high from its base to the tip of its spire, and it is the tallest structure in Kyoto. As such it dominates the skyline and can be spotted from many of the sightseeing locations around the city. For a little over 50 years this curious structure has split opinion between those who see it as a symbol of modern Kyoto, and others who see it as a tacky and inappropriate folly.














",yes,,view review
Michelle Unos,2022-07-18 04:56:15,4,0,"The line was too long and we had to wait for over 40mins to get inside. Then we spent more or less 15mins roaming inside as there was really not much to see and the place was very crowded so we couldn’t really take a good look at the view outside.

Kyoto Tower is more like a side trip when visiting. It gives you a 360-degree view of Kyoto but you can also have a great view from above Kyoto Station for free.

",yes,,view review
Anthony Michalski,2022-07-31 03:39:57,4,1,"Very cool older tower with great views of Kyoto and Osaka on a clear day.
























",yes,,view review
Neimatallah Mahmoud,2022-09-30 17:06:38,4,0,"Went there in August as an international student I could get a free ticket to the observation deck.
A fun place to go to, I would like to go again at night.




",yes,,view review
Ignacio,2022-10-16 04:12:06,4,0,"Kyoto's iconic tower, it divides people between love and indifference. It feels out of place with the architecture of the city but it grows on you. It's not worth to pay to go up to the observation platform since you can get the same view from many other places in the city. It's better appreciated from afar due to its heavy color contrast. There's a secret spot to see it at about the same height, just in front within Kyoto station.
",yes,,view review
Emily Jones,2022-10-22 10:48:33,5,0,"I was a bit lost when I first came but the people working there were very kind and helped redirect me. The view from the tower is amazing and I dont think my pictures can do it justice. If you are around here at night you definitely should stop by





",yes,,view review
Third Eye,2022-10-29 06:58:18,5,0,"It’s some old tower in japan. The tower is not used many facilities ex. Cafe and other. Kyoto is very important city in japan therefore wants new eye for tower.






",yes,,view review
Elizabeth Battley,2022-11-03 19:37:04,4,1,"Pretty good experience to go on if you have a free evening (I recommend going at night to see the skyline). It was a fun thing to do to kill half an hour but I think you could maybe find more fun things to do while in Kyoto? Because it is good but not ""wow drop everything and come here"" good.

Access to free binoculars which is a nice addition
",yes,,view review
Morwenna Gentile,2022-11-06 20:47:27,3,0,"If you've just arrived in Kyoto, this is a great way to take in all the city.
However it's quite cramped and they let quite a few people up at the same time so it did feel quite claustrophobic (we were there at sunset).
We bought our tickets online in advance but that seemed to cause more confusion when we got there than if you just buy them at the gate.",no,,view review
Mike H,2022-11-12 06:15:56,5,0,"Beautiful view of the city at night, easy to navigate as a westerner. Ticket machines all with English language and busy area with bars and restaurants. Took a lot of photos and made a few new friends along the way 😅




",yes,,view review
Børge Pahlm,2022-12-02 09:31:34,5,0,"Quick, awesome and affordable must-see spot once you arrive in Kyoto! Shouldn't take more than 10-15 minutes for a good look of the city. And it looks great at night!



",yes,,view review
Angela Kruger,2022-12-02 23:10:45,5,1,"I went up just before sunset and got to experience the views over Kyoto during the lovely bright afternoon, gorgeous sunset, and lit up at night. Amazing experience! A must see for any first time visitors to Kyoto!!



",yes,,view review
ジエームス,2022-12-09 21:07:08,5,0,"Interesting place to see the size of the city. Of course, there is a mascot to see there. If you look for it, you’ll see the full length of the Shinkansen.




















",yes,,view review
Devin Toms,2022-12-12 08:18:31,5,0,"Great view I should have gone at night though


",yes,,view review
Gh. Kh (Gh_oishiifood),2022-12-19 09:06:28,4,0,"It was a good experience. I like Kyoto Tower from the outside more 😆, the shops on the ground floor are nice, You can buy some souvenirs if you are a tourist



",yes,,view review
A K,2022-12-24 06:54:31,4,0,"A pretty landmark by Kyoto Station.
It was so beautiful to look up beautifully lighted tower at night.


",yes,,view review
Dan Albertson,2022-12-26 05:32:24,5,0,"A great 360° view of Kyoto. You can see that Kyoto is in a valley and you can see Osaka in the distance.







",yes,,view review
John Tan,2022-12-28 08:49:03,4,0,"Good views with free binoculars (because of 58th anniversary?). Too bad the views are blocked by metal bars around the tower.



",yes,,view review
Yw Teh,2022-12-29 12:47:15,4,0,"I am here while waiting for night bus.
Go to B1F get a drink and spend your time there as there are no waiting hall at Kyoto station.

Another way if you not feeling eating or drinking. Search vip waiting area on Google. You will enjoy some fun and charge your phone there.",no,,view review
Vu Nguyen,2023-01-04 02:55:51,5,0,I entered the observation deck for free with the 留学生おこしやすPASS for international students in Kyoto in Jan-Feb and Jul-Aug every year. No queuing was required even though I went to it on New Year's Holiday. The observation deck is small but the night view of the city was beautiful.,no,,view review
Amanda Liss,2023-01-06 07:59:37,5,3,"Able to purchase tickets quickly. I think it was 800 yen per person. Short Q for the elevator. Small space at the top but everyone is respectful of their surroundings and take turns using telescopes. I recommend going around 4:30pm to enjoy sunset. Once it’s nighttime there is a glare on windows so it is a little more difficult for photos and videos but the view is still beautiful with your own eyes. I enjoyed being able to watch the bullet trains coming in and out of the station. We spent about 60-90 minutes up at the top. You get a free palm size calendar with your photo on it on the way back down from the top. You may purchase larger photos if you want. Enjoy the food court at the bottom of the tower. Lots of options.
",yes,,view review
이승민,2023-01-08 08:31:31,5,1,"Crowded but still worth a try! They offered the service for one free photo with calendar from the tower!It probably for the new year event,I guess. And the telescopes are free. It is not super high but hogh enough to look around all of Kyoto. Especially kids loved Kuoto Tower with small bending machines of souvenirs.",no,,view review
Zahoor Malla,2023-01-14 03:22:44,5,0,"Wounderful experience for 1st timers,  on the top is mostly crowded but you can find your way , free to use telescopes and you can even by a sovereign coins . Overall Wounderful experience.  Must visit place.",no,,view review
Allen Walker,2023-01-17 13:25:17,5,0,"Worth the wonderful views of Kyoto at night..^^



",yes,,view review
Rayan,2023-01-19 09:30:28,5,1,"You can pay 800 yen for a ticket to visit the top of the tower. Pretty nice view!

",yes,,view review
Nataly Lorin,2023-01-21 18:33:02,5,0,"Amazing spot to go to to see the city of Kyoto. We can see the Osaka castle in the distance and much more. Friendly staff, reasonable price.



",yes,,view review
Rob Thomson,2023-01-22 13:13:57,5,0,"A fabulous view of kyoto. The free binoculars were fun to zoom in on sights around the city. Osaka and the mountains in the distance was beautiful to see.


",yes,,view review
Minju Kim,2023-01-26 16:12:58,5,0,"Great view of Kyoto. Convinient location near the station and many shops. Easy access from the subway too. Loved it! ☃️🤍





",yes,,view review
Nathalie Reichmuth,2023-01-27 03:04:11,5,4,"The Kyoto Tower is definitely a must-see! Located in the heart of the city, the tower offers panoramic views of Kyoto's famous temples and shrines, as well as the surrounding mountains and valleys. The tower is about 100 meters high, and on the top floor there is an observation deck from which you can enjoy a 360-degree view of Kyoto.
The tower has many other attractions including a cafe and a gift shop.
The Tower is easily accessible by public transport as it is close to several metro and bus stops. Parking is also available for guests arriving by car.
One of the best things about the Kyoto Tower is the observation deck, which offers amazing views of the city. The deck is ideal for taking photos of the city and a great place to watch the sunset.
All in all, the Kyoto Tower is a must-see for anyone visiting Kyoto. The combination of views, attractions and accessibility make it a great addition to any itinerary. I recommend visiting the Kyoto tower in the morning or evening to take advantage of the best lighting and avoid the crowds. 📷 🌅 ☀️ ❄️











",yes,,view review
Good day,2023-02-09 07:23:19,5,0,"The Place that we can find good views of Kyoto































",yes,,view review
Jennifer Agsten,2023-02-11 14:49:27,5,0,"Awesome views and inexpensive. Very cool spot.




",yes,,view review
Daniel Scott,2023-02-19 07:03:55,4,0,"Pretty good. The souvenirs were just cheap chinese trash, but the views were nice enough and the binocular things were free to use. The staff were polite and the price was ok. I'd maybe go again in a few years.",no,,view review
ET,2023-02-20 23:47:33,4,0,"Well, we went after sunset and sad to say I find it nothing much to see (800yen/adult). Probably it's too dark for us to appreciate the city view. Children asked 'why are we here?' 🤭
We had a family photo after the ""tour"" before exiting. A pocket size calendar with your picture on it given free or you would like to purchase a bigger size same picture for 1300yen. We bought the picture because it was well taken and for memories. Thank you Mr Photographer!


",yes,,view review
Ben Coler,2023-02-24 08:52:03,4,0,"I went on the Emperor's Birthday but just at sundown so wasn't too busy. Definitely a ""tourist"" spot. The basement food court featuring area ingredients, however, was FANTASTIC and I'm going back for dinner tonight. 😁

",yes,,view review
Beth Ling,2023-02-25 12:10:02,5,0,"Love this place. Great for a quick bite or eat, or a great tourist place to visit. The main floor has a lot of tourist shops including some traditional Kyoto treats. Basement has a good food court with tons of good food and a steady stream of 80s hits, but can sometimes be hard to find a seat. The tower view at the top is very nice, and the Tawawa mascot is adorably ugly-cute. Definitely a great place to spend a free evening in Kyoto.




",yes,,view review
Kix Kix,2023-02-28 12:49:28,5,0,"Whenever I come to Kyoyo, Kyoto tower is the landmark I definitely will visit again.



",yes,,view review
Nichii Hayashi,2023-02-28 13:08:29,5,0,"Great place to go day or night. We went this time in the mid afternoon as check in was 3pm in most hotels. We’ve been night time on our last trip and both views are as spectacular.



",yes,,view review
박경지,2023-03-05 11:46:37,5,0,"coooool.
all other buildings are lower then the tower
so the view are fantastic


",yes,,view review
Matthew Khew,2023-03-13 07:39:08,5,1,"Iconic landmark of Kyoto, situated next to Kyoto station transport hub.

It is the tallest building in Kyoto, very beautiful hen light up at night

",yes,,view review
Dexter,2023-03-15 06:04:26,5,0,"Popular Kyoto Tower.  Unfortunately we just happened to passed by and not able to visit. But its really looks nice!


",yes,,view review
Travel Y,2023-03-18 13:27:37,5,0,"The night view is superb. Not very crowded when we got there on Thur night around 19:00. Spent around 20mins up there. They have many touchable screens introducing different landmarks of Kyoto, quite interactive.



",yes,,view review
John V.,2023-03-24 03:52:10,5,0,Fully charge your phone for pictures up here. Many shrines n temples prohibit cellphone use. So up here.. u can take them without fear of a fine.,no,,view review
Sueh-Lin Cheng,2023-03-31 06:48:06,3,0,"It is not very tall, but since most buildings are not tall in Kyoto, you can see the surroundings well. It is a simple viewing space, nothing fancy. There are electronic maps that provide reference points and description of places, which is nice.",no,,view review
John Pedersen,2023-04-01 09:14:25,4,0,"This is the shortest tower we have visited on our trip. At only 100 metres tall it's very short. But it was a great day and the views were spectacular. Cheap to get in and plenty of good views of Kyoto.


",yes,,view review
Erivan,2023-04-01 10:17:38,3,0,"Kyoto's tallest structure and a rare modern iconic landmark in the city famous for its ancient temples and shrines.


",yes,,view review
Rick,2023-04-02 22:52:42,3,0,"Great views of Kyoto and around, obviously. Busy up there. The bar was worth a visit. Won't be rushing back but it was worth half an hour before the train back to Tokyo.








",yes,,view review
Bent Gonza,2023-04-06 06:01:40,4,0,"Kyoto Tower Trip Review

￼￼

Make me a trip advisor review about Kyoto tower which we saw last March

I'd be happy to help you write a Trip Advisor review for the Kyoto Tower that you saw last March. Here's a sample review:

""I recently had the pleasure of visiting the Kyoto Tower during my trip to Japan last March, and I have to say, it was an incredible experience. From the moment I stepped inside, I was blown away by the stunning views of the city that stretched out before me. The panoramic views from the observation deck were truly breathtaking, and I found myself completely immersed in the beauty of Kyoto.

The tower itself is a modern marvel, with sleek architecture and impressive design. I was impressed by how well-maintained everything was, from the spotless windows to the comfortable seating areas. The staff were friendly and helpful, and I appreciated the informative displays that provided insight into the history and culture of Kyoto.

Overall, I highly recommend a visit to the Kyoto Tower for anyone traveling to Japan. Whether you're a first-time visitor or a seasoned traveler, the views and experiences offered by the tower are truly unforgettable. Don't miss out on this amazing opportunity to see Kyoto from a whole new perspective!""

￼￼

We did not go inside the tower. Therefore the review should be for the exterior only

I apologize for the mistake in my previous response. Here's a revised review for the exterior of Kyoto Tower:

""During my recent trip to Kyoto, I had the opportunity to see the stunning Kyoto Tower from the outside. The tower is an impressive sight to behold, with its sleek, modern design towering above the surrounding buildings. I was struck by the tower's unique shape, which made it stand out even more among the city's skyline.

Even from a distance, I could see the intricate details that had gone into the tower's construction. The exterior was clean and well-maintained, with no signs of wear and tear. I appreciated the effort that had gone into ensuring that the tower remained an impressive landmark that represented the best of modern architecture.

Overall, I highly recommend a visit to see the Kyoto Tower from the outside. It's a must-see attraction that truly captures the spirit of the city, and its beauty and grandeur are sure to leave a lasting impression.""",no,,view review
DR DAVY GOH,2023-04-09 07:46:14,5,15,"Great view of Kyoto Tower from the Kyoto station!
One of the iconic landmark in Kyoto.



",yes,,view review
Nicholas Lim,2023-04-16 11:58:42,5,0,"It was a stunning view, but honestly, would have preferred to come at day instead of night. Couldn't identify most iconic buildings. But still an enjoyable experience.



",yes,,view review
Athleticgirl 86,2023-04-17 14:12:37,5,0,"Kyoto Tower at night, so until 21:00 you can go up. Worthwhile in any case, if you want to see the city at night from above. You also have a great view of the station of Kyoto.



",yes,,view review
Sanka Illangakoon,2023-04-24 13:47:40,4,0,"Kyoto Tower is an iconic landmark in the heart of the city, offering panoramic views of Kyoto from its observation deck. At 131 meters tall, the tower is one of the tallest buildings in Kyoto and provides breathtaking views of the surrounding mountains and cityscape.

You might find it confusing to find the ticketing office as it really is. The ticketing office is located in level B1 and then you will have to visit another floor before being tranferred to the lift that'll take you to the top. While it may not be the most historic attraction in Kyoto, Kyoto Tower is a must-visit for those looking to take in the city's beauty from above.














",yes,,view review
Mariee M.,2023-05-02 06:28:34,3,0,"Kyoto is a flat city(geographically I mean), so I don't recommend enjoying the night view of this tower. If you want to enjoy the spectacular night view of the city, I recommend Harukas 300 or Umeda Air Garden in Osaka instead.
The admission fee is 900 yen, and you can pay by credit card.


",yes,,view review
René Ratschiller,2023-05-03 01:52:32,4,0,"Pretty much the only viewpoint in Kyoto, but if you are not crazy for viewpoints, this is not a ""must see"". It's a pretty small observatory and it costs 900¥ per person.



",yes,,view review
Doug Neilson,2023-05-03 14:04:18,4,0,"Close to main railway station. The tower gives very good views all over Kyoto ( if viewing weather is OK).  About 900 yen to enter, using two lifts via 11th floor of building. Rather old fashioned interior ( the tower dates to 1960s). Two levels of viewing gallery, free telescopes, and interpretation screens.  Well worth a visit, which will take 45 minutes or so.  May be queues at peak times.



",yes,,view review
James Milner,2023-05-13 08:37:02,3,0,"At 9k yen the entry is a bit expensive. It's the tallest structure in the city and the views are nice. The tower is an older structure and it shows - though that adds some charm.
",yes,,view review
Harman Preet Singh,2023-05-19 11:48:09,5,0,"Had Awesome Experince Everyone once visit there
",yes,,view review
nick polise,2023-05-20 04:54:39,5,0,"Great place to scope out all of kyoto from above



",yes,,view review
Leslie Lee,2023-05-23 03:22:52,5,0,"Kyoto Tower truly captivated me with its beauty, even from a distance. Its graceful design and towering presence added a touch of grandeur to the cityscape.
",yes,,view review
Alia Shapiro,2023-05-27 12:45:03,5,0,"Worth a visit! They give complimentary calendar card with your photo taken.
",yes,,view review
kari one,2023-05-28 19:03:59,5,0,"Beautiful Kyoto tower closed to JR station. Tiene hotel y restaurante







",yes,,view review
Yingying,2023-05-31 11:45:46,5,0,"We see the tower every night when we go back to our hotel. It lights up beautifully at night so don’t miss it. I felt that the day time was quite average so don’t miss the night view!









",yes,,view review
Debbie Fogel,2023-06-02 11:00:21,4,0,"Smaller observation tower.  It's near the main train station, which is about 20 mins from most Kyoto attractions.  Worth a quick visit.  I went up shortly after sunset, but I think day views would be better.
",yes,,view review
Samantha Smith,2023-06-03 12:53:17,3,0,"This was one of our last stops in Kyoto while we visited. It's an iconic location for sure and super easy to get to (just walk out of Kyoto Station and it's right there towering over you!). Tickets were quick to purchase and the initial elevator up was quite quick. We went in the afternoon on a Saturday and, after a short queue for yet another elevator, we made it to the observation deck. This deck is small and crowded, so it makes it hard to get a good view out the windows. However, the view was wonderful and it was a beautiful clear arvo.
The binoculars that are stationed around the circular deck are well positioned and are free to use. These were a standout, it was quite fun watching people eat their dinner from afar 😂 there are also interactive touch screens around the deck also that you can use.




",yes,,view review
Ricardo Oliva,2023-06-03 23:30:04,5,0,"Very cool tower and observatory. You can see Kyoto from a different perspective.



",yes,,view review
